BioProject	SRA_Study	Run	Experiment	BioSample	SRA_Sample	Assay_Type	Platform	Instrument	LibraryLayout	Library_Name	Sample_Name	Organism	isolate
PRJNA622817	SRP255151	SRR11476456	SRX8052687	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2857	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476457	SRX8052686	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2856	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476458	SRX8052685	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2855	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476459	SRX8052684	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2854	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476460	SRX8052683	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2853	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476461	SRX8052682	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2852	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476462	SRX8052681	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2851	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476463	SRX8052680	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2850	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476464	SRX8052679	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2849	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476465	SRX8052678	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2848	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476466	SRX8052677	SAMN14530229	SRS6422658	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	E0133_BC38	P200016	Severe acute respiratory syndrome coronavirus 2	F6
PRJNA622817	SRP255151	SRR11476467	SRX8052676	SAMN14530228	SRS6422657	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	E0133_BC37	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA623797	SRP276671	SRR12412952	SRX8909137	SAMN14647198	SRS7166526	WGS	ILLUMINA	Illumina MiSeq	PAIRED	SP-2	hCoV-19/Canada/ON-VIDO-01/2020 (EPI_ISL_425177)	Severe acute respiratory syndrome coronavirus 2	ON-VIDO-01-P2
PRJNA623797	SRP276671	SRR12486810	SRX8978626	SAMN14647199	SRS7233795	WGS	OXFORD_NANOPORE	MinION	SINGLE	Barcode08	hCov-19/Canada/ON/VIDO01/2020 (EPI ISL 413015)	Severe acute respiratory syndrome coronavirus 2	ON-VIDO-01-P3
PRJNA627229	SRP258006	SRR11593365	SRX8160309	SAMN14652900	SRS6522024	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	NRW-01_Illumina	NRW-01	Severe acute respiratory syndrome coronavirus 2	NRW-01
PRJNA627229	SRP258006	SRR11593419	SRX8160255	SAMN14652900	SRS6522024	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-01	NRW-01	Severe acute respiratory syndrome coronavirus 2	NRW-01
PRJNA627229	SRP258006	SRR11593364	SRX8160310	SAMN14652901	SRS6522025	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	NRW-02-1_Illumina	NRW-02-1	Severe acute respiratory syndrome coronavirus 2	NRW-02-1
PRJNA627229	SRP258006	SRR11593418	SRX8160256	SAMN14652901	SRS6522025	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-02-1	NRW-02-1	Severe acute respiratory syndrome coronavirus 2	NRW-02-1
PRJNA627229	SRP258006	SRR11593354	SRX8160320	SAMN14652910	SRS6522026	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	NRW-011_Illumina	NRW-011	Severe acute respiratory syndrome coronavirus 2	NRW-011
PRJNA627229	SRP258006	SRR11593417	SRX8160257	SAMN14652910	SRS6522026	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-011	NRW-011	Severe acute respiratory syndrome coronavirus 2	NRW-011
PRJNA627229	SRP258006	SRR11593416	SRX8160258	SAMN14652911	SRS6522027	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-12	NRW-12	Severe acute respiratory syndrome coronavirus 2	NRW-12
PRJNA627229	SRP258006	SRR11593415	SRX8160259	SAMN14652912	SRS6522028	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-13	NRW-13	Severe acute respiratory syndrome coronavirus 2	NRW-13
PRJNA627229	SRP258006	SRR11593414	SRX8160260	SAMN14652913	SRS6522029	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-14	NRW-14	Severe acute respiratory syndrome coronavirus 2	NRW-14
PRJNA627229	SRP258006	SRR11593413	SRX8160261	SAMN14652914	SRS6522030	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-15	NRW-15	Severe acute respiratory syndrome coronavirus 2	NRW-15
PRJNA627229	SRP258006	SRR11593412	SRX8160262	SAMN14652915	SRS6522031	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-16	NRW-16	Severe acute respiratory syndrome coronavirus 2	NRW-16
PRJNA627229	SRP258006	SRR11593411	SRX8160263	SAMN14652916	SRS6522032	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-17	NRW-17	Severe acute respiratory syndrome coronavirus 2	NRW-17
PRJNA627229	SRP258006	SRR11593410	SRX8160264	SAMN14652917	SRS6522033	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-18	NRW-18	Severe acute respiratory syndrome coronavirus 2	NRW-18
PRJNA627229	SRP258006	SRR11593409	SRX8160265	SAMN14652918	SRS6522034	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-19	NRW-19	Severe acute respiratory syndrome coronavirus 2	NRW-19
PRJNA627229	SRP258006	SRR11593408	SRX8160266	SAMN14652919	SRS6522035	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-20	NRW-20	Severe acute respiratory syndrome coronavirus 2	NRW-20
PRJNA627229	SRP258006	SRR11593362	SRX8160312	SAMN14652902	SRS6522036	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	NRW-03_Illumina	NRW-03	Severe acute respiratory syndrome coronavirus 2	NRW-03
PRJNA627229	SRP258006	SRR11593407	SRX8160267	SAMN14652902	SRS6522036	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-03	NRW-03	Severe acute respiratory syndrome coronavirus 2	NRW-03
PRJNA627229	SRP258006	SRR11593406	SRX8160268	SAMN14652920	SRS6522037	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-21	NRW-21	Severe acute respiratory syndrome coronavirus 2	NRW-21
PRJNA627229	SRP258006	SRR11593405	SRX8160269	SAMN14652921	SRS6522038	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-22	NRW-22	Severe acute respiratory syndrome coronavirus 2	NRW-22
PRJNA627229	SRP258006	SRR11593404	SRX8160270	SAMN14652922	SRS6522039	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-23	NRW-23	Severe acute respiratory syndrome coronavirus 2	NRW-23
PRJNA627229	SRP258006	SRR11593403	SRX8160271	SAMN14652923	SRS6522040	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-24	NRW-24	Severe acute respiratory syndrome coronavirus 2	NRW-24
PRJNA627229	SRP258006	SRR11593402	SRX8160272	SAMN14652924	SRS6522041	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-25	NRW-25	Severe acute respiratory syndrome coronavirus 2	NRW-25
PRJNA627229	SRP258006	SRR11593401	SRX8160273	SAMN14652925	SRS6522042	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-26	NRW-26	Severe acute respiratory syndrome coronavirus 2	NRW-26
PRJNA627229	SRP258006	SRR11593400	SRX8160274	SAMN14652926	SRS6522043	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-27	NRW-27	Severe acute respiratory syndrome coronavirus 2	NRW-27
PRJNA627229	SRP258006	SRR11593399	SRX8160275	SAMN14652927	SRS6522044	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-28	NRW-28	Severe acute respiratory syndrome coronavirus 2	NRW-28
PRJNA627229	SRP258006	SRR11593398	SRX8160276	SAMN14652928	SRS6522045	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-29	NRW-29	Severe acute respiratory syndrome coronavirus 2	NRW-29
PRJNA627229	SRP258006	SRR11593397	SRX8160277	SAMN14652929	SRS6522046	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-30	NRW-30	Severe acute respiratory syndrome coronavirus 2	NRW-30
PRJNA627229	SRP258006	SRR11593361	SRX8160313	SAMN14652903	SRS6522047	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	NRW-04_Illumina	NRW-04	Severe acute respiratory syndrome coronavirus 2	NRW-04
PRJNA627229	SRP258006	SRR11593396	SRX8160278	SAMN14652903	SRS6522047	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-04	NRW-04	Severe acute respiratory syndrome coronavirus 2	NRW-04
PRJNA627229	SRP258006	SRR11593368	SRX8160306	SAMN14652930	SRS6522048	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-31-repeat	NRW-31	Severe acute respiratory syndrome coronavirus 2	NRW-31
PRJNA627229	SRP258006	SRR11593395	SRX8160279	SAMN14652930	SRS6522048	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-31	NRW-31	Severe acute respiratory syndrome coronavirus 2	NRW-31
PRJNA627229	SRP258006	SRR11593394	SRX8160280	SAMN14652931	SRS6522049	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-32	NRW-32	Severe acute respiratory syndrome coronavirus 2	NRW-32
PRJNA627229	SRP258006	SRR11593393	SRX8160281	SAMN14652932	SRS6522050	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-33	NRW-33	Severe acute respiratory syndrome coronavirus 2	NRW-33
PRJNA627229	SRP258006	SRR11593392	SRX8160282	SAMN14652933	SRS6522051	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-34	NRW-34	Severe acute respiratory syndrome coronavirus 2	NRW-34
PRJNA627229	SRP258006	SRR11593391	SRX8160283	SAMN14652934	SRS6522052	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-35	NRW-35	Severe acute respiratory syndrome coronavirus 2	NRW-35
PRJNA627229	SRP258006	SRR11593390	SRX8160284	SAMN14652935	SRS6522053	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-36	NRW-36	Severe acute respiratory syndrome coronavirus 2	NRW-36
PRJNA627229	SRP258006	SRR11593389	SRX8160285	SAMN14652936	SRS6522054	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-37	NRW-37	Severe acute respiratory syndrome coronavirus 2	NRW-37
PRJNA627229	SRP258006	SRR11593388	SRX8160286	SAMN14652937	SRS6522055	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-38	NRW-38	Severe acute respiratory syndrome coronavirus 2	NRW-38
PRJNA627229	SRP258006	SRR11593366	SRX8160308	SAMN14652938	SRS6522056	WGS	OXFORD_NANOPORE	MinION	SINGLE	NRW-39-direct-cDNA-20-artic-primers	NRW-39	Severe acute respiratory syndrome coronavirus 2	NRW-39
PRJNA627229	SRP258006	SRR11593367	SRX8160307	SAMN14652938	SRS6522056	WGS	OXFORD_NANOPORE	MinION	SINGLE	NRW-39-direct-cDNA-random-hexamers	NRW-39	Severe acute respiratory syndrome coronavirus 2	NRW-39
PRJNA627229	SRP258006	SRR11593387	SRX8160287	SAMN14652938	SRS6522056	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-39	NRW-39	Severe acute respiratory syndrome coronavirus 2	NRW-39
PRJNA627229	SRP258006	SRR11593386	SRX8160288	SAMN14652939	SRS6522057	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-40	NRW-40	Severe acute respiratory syndrome coronavirus 2	NRW-40
PRJNA627229	SRP258006	SRR11593360	SRX8160314	SAMN14652904	SRS6522058	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	NRW-05_Illumina	NRW-05	Severe acute respiratory syndrome coronavirus 2	NRW-05
PRJNA627229	SRP258006	SRR11593385	SRX8160289	SAMN14652904	SRS6522058	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-05	NRW-05	Severe acute respiratory syndrome coronavirus 2	NRW-05
PRJNA627229	SRP258006	SRR11593384	SRX8160290	SAMN14652940	SRS6522059	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-41	NRW-41	Severe acute respiratory syndrome coronavirus 2	NRW-41
PRJNA627229	SRP258006	SRR11593383	SRX8160291	SAMN14652941	SRS6522060	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-42	NRW-42	Severe acute respiratory syndrome coronavirus 2	NRW-42
PRJNA627229	SRP258006	SRR11593382	SRX8160292	SAMN14652942	SRS6522061	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-43	NRW-43	Severe acute respiratory syndrome coronavirus 2	NRW-43
PRJNA627229	SRP258006	SRR11593381	SRX8160293	SAMN14652943	SRS6522062	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-44	NRW-44	Severe acute respiratory syndrome coronavirus 2	NRW-44
PRJNA627229	SRP258006	SRR11593380	SRX8160294	SAMN14652944	SRS6522063	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-54	NRW-54	Severe acute respiratory syndrome coronavirus 2	NRW-54
PRJNA627229	SRP258006	SRR11593379	SRX8160295	SAMN14652945	SRS6522064	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-55	NRW-55	Severe acute respiratory syndrome coronavirus 2	NRW-55
PRJNA627229	SRP258006	SRR11593378	SRX8160296	SAMN14652946	SRS6522065	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-45	NRW-45	Severe acute respiratory syndrome coronavirus 2	NRW-45
PRJNA627229	SRP258006	SRR11593377	SRX8160297	SAMN14652947	SRS6522066	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-46	NRW-46	Severe acute respiratory syndrome coronavirus 2	NRW-46
PRJNA627229	SRP258006	SRR11593376	SRX8160298	SAMN14652948	SRS6522067	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-47	NRW-47	Severe acute respiratory syndrome coronavirus 2	NRW-47
PRJNA627229	SRP258006	SRR11593375	SRX8160299	SAMN14652949	SRS6522068	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-48	NRW-48	Severe acute respiratory syndrome coronavirus 2	NRW-48
PRJNA627229	SRP258006	SRR11593359	SRX8160315	SAMN14652905	SRS6522069	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	NRW-06_Illumina	NRW-06	Severe acute respiratory syndrome coronavirus 2	NRW-06
PRJNA627229	SRP258006	SRR11593374	SRX8160300	SAMN14652905	SRS6522069	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-06	NRW-06	Severe acute respiratory syndrome coronavirus 2	NRW-06
PRJNA627229	SRP258006	SRR11593373	SRX8160301	SAMN14652950	SRS6522070	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-49	NRW-49	Severe acute respiratory syndrome coronavirus 2	NRW-49
PRJNA627229	SRP258006	SRR11593372	SRX8160302	SAMN14652951	SRS6522071	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-50	NRW-50	Severe acute respiratory syndrome coronavirus 2	NRW-50
PRJNA627229	SRP258006	SRR11593371	SRX8160303	SAMN14652952	SRS6522072	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-51	NRW-51	Severe acute respiratory syndrome coronavirus 2	NRW-51
PRJNA627229	SRP258006	SRR11593370	SRX8160304	SAMN14652953	SRS6522073	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-52	NRW-52	Severe acute respiratory syndrome coronavirus 2	NRW-52
PRJNA627229	SRP258006	SRR11593369	SRX8160305	SAMN14652954	SRS6522074	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-53	NRW-53	Severe acute respiratory syndrome coronavirus 2	NRW-53
PRJNA627229	SRP258006	SRR11593358	SRX8160316	SAMN14652906	SRS6522075	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	NRW-07_Illumina	NRW-07	Severe acute respiratory syndrome coronavirus 2	NRW-07
PRJNA627229	SRP258006	SRR11593363	SRX8160311	SAMN14652906	SRS6522075	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-07	NRW-07	Severe acute respiratory syndrome coronavirus 2	NRW-07
PRJNA627229	SRP258006	SRR11593353	SRX8160321	SAMN14652907	SRS6522076	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-08	NRW-08	Severe acute respiratory syndrome coronavirus 2	NRW-08
PRJNA627229	SRP258006	SRR11593357	SRX8160317	SAMN14652907	SRS6522076	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	NRW-08_Illumina	NRW-08	Severe acute respiratory syndrome coronavirus 2	NRW-08
PRJNA627229	SRP258006	SRR11593352	SRX8160322	SAMN14652908	SRS6522077	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-09	NRW-09	Severe acute respiratory syndrome coronavirus 2	NRW-09
PRJNA627229	SRP258006	SRR11593356	SRX8160318	SAMN14652908	SRS6522077	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	NRW-09_Illumina	NRW-09	Severe acute respiratory syndrome coronavirus 2	NRW-09
PRJNA627229	SRP258006	SRR11593351	SRX8160323	SAMN14652909	SRS6522078	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	NRW-10	NRW-10	Severe acute respiratory syndrome coronavirus 2	NRW-10
PRJNA627229	SRP258006	SRR11593355	SRX8160319	SAMN14652909	SRS6522078	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	NRW-10_Illumina	NRW-10	Severe acute respiratory syndrome coronavirus 2	NRW-10
PRJNA649101	SRP273877	SRR12336836	SRX8836696	SAMN15658994	SRS7100042	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	1_Ct10.7_AO	1_Ct10.7_AO	Severe acute respiratory syndrome coronavirus 2	not applicable
PRJNA649101	SRP273877	SRR12336835	SRX8836697	SAMN15658995	SRS7100043	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	2_Ct14.5_AO	2_Ct14.5_AO	Severe acute respiratory syndrome coronavirus 2	not applicable
